FROM_DATE,STORE_CODE,MODULE_TYPE,MODULE_NAME,AREA,FLOOR_NAME,INDEX,MODULE_SIZE_WIDTH,MODULE_SIZE_HEIGHT,M2_MODULE
2026/08/01,CHA002,WALL_SHELF,W1,NORMAL,1.00,1.28,90.00,220.00,1.98
2026/08/01,CHA002,WALL_SHELF,W2,NORMAL,1.00,1.28,120.00,220.00,2.64
2026/08/01,CHA002,WALL_SHELF,W3,NORMAL,1.00,1.28,120.00,220.00,2.64
2026/08/01,CHA002,WALL_SHELF,W4,NORMAL,1.00,1.28,120.00,220.00,2.64
2026/08/01,CHA002,WALL_SHELF,W5,NORMAL,1.00,1.28,120.00,220.00,2.64
2026/08/01,CHA002,WALL_SHELF,W6,NORMAL,1.00,1.28,120.00,220.00,2.64
2026/08/01,CHA002,WALL_SHELF,W7,NORMAL,1.00,1.28,120.00,220.00,2.64
2026/08/01,CHA002,WALL_SHELF,W8,NORMAL,1.00,1.28,120.00,220.00,2.64
2026/08/01,CHA002,WALL_SHELF,W9,NORMAL,1.00,1.28,120.00,220.00,2.64
2026/08/01,CHA002,WALL_SHELF,W10,NORMAL,1.00,1.28,120.00,220.00,2.64
2026/08/01,CHA002,WALL_SHELF,W11,NORMAL,1.00,1.28,120.00,220.00,2.64
2026/08/01,CHA002,WALL_SHELF,W12,NORMAL,1.00,1.28,120.00,220.00,2.64
2026/08/01,CHA002,WALL_SHELF,W13,NORMAL,1.00,1.28,120.00,220.00,2.64
2026/08/01,CHA002,WALL_SHELF,W14,NORMAL,1.00,1.28,120.00,220.00,2.64
2026/08/01,CHA002,WALL_SHELF,W15,NORMAL,1.00,1.28,120.00,220.00,2.64
2026/08/01,CHA002,WALL_SHELF,W16,NORMAL,1.00,1.28,120.00,220.00,2.64
2026/08/01,CHA002,WALL_SHELF,W17,NORMAL,1.00,1.28,120.00,220.00,2.64
2026/08/01,CHA002,WALL_SHELF,W18,NORMAL,1.00,1.28,120.00,220.00,2.64
2026/08/01,CHA002,WALL_SHELF,W19,NORMAL,1.00,1.28,120.00,220.00,2.64
2026/08/01,CHA002,WALL_SHELF,W20,NORMAL,1.00,1.28,120.00,220.00,2.64
2026/08/01,CHA002,WALL_SHELF,W21,NORMAL,1.00,1.28,120.00,220.00,2.64
2026/08/01,CHA002,WALL_SHELF,W22,NORMAL,1.00,1.28,120.00,220.00,2.64
2026/08/01,CHA002,WALL_SHELF,W23,NORMAL,1.00,1.28,120.00,220.00,2.64
2026/08/01,CHA002,WALL_SHELF,W24,NORMAL,1.00,1.28,120.00,220.00,2.64
2026/08/01,CHA002,WALL_SHELF,W25,NORMAL,1.00,1.28,90.00,220.00,1.98
2026/08/01,CHA002,WALL_SHELF,W26,NORMAL,1.00,1.28,120.00,220.00,2.64
